C107128	HGNC:6147
C107131	HGNC:3971
C107134	HGNC:7675
C107420	HGNC:30911
C107423	HGNC:6809
C107436	HGNC:4298
C107441	HGNC:11453
C107444	HGNC:2460
C107447	HGNC:4086
C107451	HGNC:16715
C107454	HGNC:4066
C107457	HGNC:786
C107460	HGNC:10922
C107463	HGNC:10925
C107466	HGNC:30521
C107469	HGNC:1818
C107472	HGNC:7969
C107475	HGNC:3312
C107487	HGNC:439
C107557	HGNC:2635
C107571	HGNC:9456
C107574	HGNC:10966
C107577	HGNC:10934
C107582	HGNC:5964
C107610	HGNC:11246
C107613	HGNC:283
C107616	HGNC:12437
C107619	HGNC:18155
C107622	HGNC:12397
C107625	HGNC:6415
C107646	HGNC:20456
C107649	HGNC:18505
C107652	HGNC:10360
C107655	HGNC:17284
C107658	HGNC:7879
C107661	HGNC:11424
C107664	HGNC:21729
C107667	HGNC:1805
C111791	HGNC:8909
C111795	HGNC:17755
C111800	HGNC:10888
C111805	HGNC:10890
C111812	HGNC:10891
C111818	HGNC:16234
C111820	HGNC:11008
C111821	HGNC:5278
C111822	HGNC:251
C111825	HGNC:18071
C111829	HGNC:252
C111830	HGNC:6693
C111835	HGNC:9402
C111838	HGNC:14466
C111841	HGNC:3390
C111842	HGNC:11761
C111847	HGNC:18044
C111850	HGNC:19412
C111862	HGNC:3071
C111866	HGNC:6430
C111869	HGNC:10698
C111872	HGNC:396
C111875	HGNC:797
C111878	HGNC:2892
C111881	HGNC:2894
C111916	HGNC:22943
C111919	HGNC:22948
C111922	HGNC:14927
C111925	HGNC:1884
C111928	HGNC:16806
C111931	HGNC:18280
C111934	HGNC:7112
C111937	HGNC:21100
C111940	HGNC:23846
C111952	HGNC:2024
C111955	HGNC:19876
C111960	HGNC:25674
C111973	HGNC:19866
C111977	HGNC:33738
C111980	HGNC:30869
C112053	HGNC:29599
C112062	HGNC:28984
C112066	HGNC:11387
C112069	HGNC:18831
C112072	HGNC:4635
C112075	HGNC:9545
C112078	HGNC:9538
C112081	HGNC:18798
C112084	HGNC:14298
C112088	HGNC:25216
C112096	HGNC:28224
C112099	HGNC:1473
C112101	HGNC:380
C112105	HGNC:23177
C112108	HGNC:9599
C112118	HGNC:4606
C112123	HGNC:6570
C112127	HGNC:3070
C112130	HGNC:7567
C112133	HGNC:7572
C112136	HGNC:6470
C112139	HGNC:11566
C112142	HGNC:12652
C112145	HGNC:6663
C112148	HGNC:3748
C112151	HGNC:6413
C112154	HGNC:24337
C112157	HGNC:24338
C112483	HGNC:31599
C112486	HGNC:8541
C112489	HGNC:29349
C112492	HGNC:12517
C112501	HGNC:2849
C112504	HGNC:7376
C112510	HGNC:7984
C112513	HGNC:7943
C112822	HGNC:5112
C112828	HGNC:2314
C112837	HGNC:9755
C112867	HGNC:12875
C112870	HGNC:8826
C112873	HGNC:2705
C112876	HGNC:5381
C112879	HGNC:5329
C112890	HGNC:934
C112893	HGNC:933
C112896	HGNC:19246
C112899	HGNC:28707
C112902	HGNC:8624
C112905	HGNC:15924
C112915	HGNC:24953
C112919	HGNC:11200
C113081	HGNC:6889
C113086	HGNC:16390
C113107	HGNC:29884
C113110	HGNC:28116
C113114	HGNC:4462
C113117	HGNC:15768
C113121	HGNC:12010
C113126	HGNC:23214
C113130	HGNC:25126
C113133	HGNC:30880
C113137	HGNC:18536
C113140	HGNC:23572
C113157	HGNC:1142
C113165	HGNC:5208
C113216	HGNC:16952
C113221	HGNC:12640
C113224	HGNC:12735
C113227	HGNC:16877
C113230	HGNC:31630
C113233	HGNC:29401
C113252	HGNC:6375
C113255	HGNC:14601
C113258	HGNC:727
C113261	HGNC:2464
C113264	HGNC:259
C113269	HGNC:6623
C113273	HGNC:28506
C113276	HGNC:19129
C113279	HGNC:28636
C113282	HGNC:23510
C113285	HGNC:14198
C113290	HGNC:24662
C113299	HGNC:6694
C113305	HGNC:25139
C113309	HGNC:7532
C113312	HGNC:9223
C113315	HGNC:2654
C113318	HGNC:11002
C113321	HGNC:16484
C113324	HGNC:1441
C113327	HGNC:71
C113518	HGNC:7050
C113522	HGNC:5713
C113524	HGNC:11049
C113526	HGNC:24574
C113531	HGNC:1380
C113533	HGNC:18396
C113536	HGNC:8010
C113540	HGNC:14963
C113543	HGNC:18990
C113546	HGNC:12555
C113547	HGNC:1944
C113552	HGNC:10738
C113555	HGNC:9205
C113558	HGNC:30367
C113561	HGNC:10967
C113564	HGNC:25588
C113567	HGNC:26439
C113570	HGNC:23097
C113573	HGNC:30072
C113576	HGNC:31911
C113579	HGNC:3363
C113582	HGNC:2296
C113585	HGNC:3754
C113589	HGNC:9958
C113592	HGNC:17190
C113595	HGNC:19687
C113598	HGNC:73
C113602	HGNC:4887
C113605	HGNC:13315
C113608	HGNC:33843
C113612	HGNC:3449
C113616	HGNC:791
C113619	HGNC:2890
C113622	HGNC:4740
C113625	HGNC:9106
C113628	HGNC:8977
C113632	HGNC:12536
C113635	HGNC:4838
C113638	HGNC:957
C113641	HGNC:20389
C113686	HGNC:32979
C113757	HGNC:9475
C113760	HGNC:4765
C113762	HGNC:799
C113765	HGNC:816
C113769	HGNC:1391
C113818	HGNC:5171
C113821	HGNC:349
C113830	HGNC:3395
C113834	HGNC:19372
C114303	HGNC:2538
C114306	HGNC:30425
C114312	HGNC:14062
C114316	HGNC:6295
C114319	HGNC:360
C114322	HGNC:8821
C114325	HGNC:17794
C114328	HGNC:4404
C114331	HGNC:4403
C114334	HGNC:19663
C114337	HGNC:9401
C114340	HGNC:9199
C114348	HGNC:4389
C114351	HGNC:11767
C114355	HGNC:6887
C114360	HGNC:8974
C114364	HGNC:5213
C114367	HGNC:5217
C114391	HGNC:13538
C114394	HGNC:24255
C114398	HGNC:11487
C114401	HGNC:25413
C114406	HGNC:16356
C114410	HGNC:9107
C114413	HGNC:29116
C114416	HGNC:11720
C114421	HGNC:28115
C114424	HGNC:30580
C114427	HGNC:14472
C114430	HGNC:16511
C114433	HGNC:10884
C114436	HGNC:10253
C114439	HGNC:21698
C114442	HGNC:24499
C114445	HGNC:9907
C114448	HGNC:14219
C114452	HGNC:9848
C114481	HGNC:16404
C114485	HGNC:13632
C114508	HGNC:5724
C114511	HGNC:197
C114514	HGNC:3084
C114517	HGNC:16005
C114520	HGNC:4882
C114523	HGNC:11553
C114526	HGNC:4594
C114529	HGNC:4595
C114532	HGNC:4596
C114535	HGNC:4599
C114538	HGNC:4600
C114542	HGNC:9391
C114545	HGNC:9042
C114553	HGNC:18053
C114556	HGNC:8794
C114563	HGNC:30032
C114568	HGNC:6954
C114571	HGNC:25193
C114575	HGNC:6181
C114582	HGNC:25048
C114589	HGNC:14569
C114601	HGNC:4369
C114604	HGNC:29363
C114607	HGNC:15767
C114610	HGNC:28844
C114613	HGNC:23147
C114615	HGNC:21874
C114618	HGNC:11429
C114622	HGNC:11445
C114625	HGNC:13280
C114628	HGNC:24656
C114632	HGNC:2685
C114642	HGNC:17449
C114653	HGNC:21101
C114657	HGNC:7057
C114660	HGNC:30000
C114663	HGNC:13534
C114672	HGNC:16040
C114681	HGNC:21496
C114687	HGNC:20886
C114691	HGNC:99
C114700	HGNC:23339
C114731	HGNC:30321
C114734	HGNC:23293
C114737	HGNC:11503
C114740	HGNC:13075
C114743	HGNC:13787
C114746	HGNC:8812
C114803	HGNC:434
C114810	HGNC:10597
C114814	HGNC:14621
C114817	HGNC:14497
C114822	HGNC:11827
C114825	HGNC:20234
C114832	HGNC:18122
C114893	HGNC:11259
C114896	HGNC:11261
C114908	HGNC:7967
C114919	HGNC:21876
C114924	HGNC:8021
C114941	HGNC:2652
C114945	HGNC:25752
C114952	HGNC:3342
C114957	HGNC:4901
C114995	HGNC:493
C114998	HGNC:18801
C115001	HGNC:12011
C115004	HGNC:12611
C115007	HGNC:9400
C115010	HGNC:13721
C115013	HGNC:12698
C115016	HGNC:5295
C115020	HGNC:11007
C115023	HGNC:23093
C115026	HGNC:5395
C115064	HGNC:5099
C115067	HGNC:17175
C115077	HGNC:30579
C115080	HGNC:11838
C115083	HGNC:11840
C115113	HGNC:2389
C115166	HGNC:330
C115170	HGNC:4274
C115173	HGNC:21625
C115176	HGNC:3308
C115179	HGNC:9255
C115182	HGNC:7178
C115185	HGNC:7512
C115188	HGNC:11756
C115191	HGNC:18809
C115252	HGNC:5391
C115257	HGNC:8764
C115266	HGNC:18707
C115275	HGNC:12556
C115281	HGNC:10011
C115310	HGNC:17575
C115313	HGNC:1763
C115316	HGNC:14010
C115323	HGNC:20951
C115328	HGNC:4381
C115353	HGNC:4718
C115377	HGNC:7539
C115382	HGNC:9896
C115421	HGNC:11617
C115424	HGNC:777
C115436	HGNC:20250
C115962	HGNC:15840
C115968	HGNC:24456
C115973	HGNC:16067
C115982	HGNC:20565
C115985	HGNC:4790
C115989	HGNC:25843
C115994	HGNC:16863
C116022	HGNC:6501
