Source,Source Name,Source Code,Type,Rank,Target Name,Target Code,Target Terminology,Target Terminology Version
"NCI_Thesaurus","AGT Gene","C38185","mapsTo","1","AGT","HGNC:333","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGTR1 Gene","C179872","mapsTo","1","AGTR1","HGNC:336","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGTR2 Gene","C21387","mapsTo","1","AGTR2","HGNC:338","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AGTRAP Gene","C101500","mapsTo","1","AGTRAP","HGNC:13539","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHCY Gene","C104863","mapsTo","1","AHCY","HGNC:343","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHDC1 Gene","C192676","mapsTo","1","AHDC1","HGNC:25230","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHI1 Gene","C191904","mapsTo","1","AHI1","HGNC:21575","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHR Gene","C28523","mapsTo","1","AHR","HGNC:348","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHRR Gene","C177419","mapsTo","1","AHRR","HGNC:346","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AHSG Gene","C113821","mapsTo","1","AHSG","HGNC:349","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AICDA Gene","C101413","mapsTo","1","AICDA","HGNC:13203","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AIFM1 Gene","C178194","mapsTo","1","AIFM1","HGNC:8768","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AIM2 Gene","C21391","mapsTo","1","AIM2","HGNC:357","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AIMP2 Gene","C97241","mapsTo","1","AIMP2","HGNC:20609","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AIP Gene","C95461","mapsTo","1","AIP","HGNC:358","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AIRE Gene","C114319","mapsTo","1","AIRE","HGNC:360","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AJUBA Gene","C115436","mapsTo","1","AJUBA","HGNC:20250","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","AK1 Gene","C190403","mapsTo","1","AK1","HGNC:361","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
