C29386	CHEBI:51179
C29388	CHEBI:16997
C29390	CHEBI:8604
C29395	CHEBI:45285
C29396	CHEBI:26410
C29396	CHEBI:14973
C29398	CHEBI:8714
C29399	CHEBI:52250
C29406	CHEBI:26580
C29410	CHEBI:8768
C29411	CHEBI:8774
C29412	CHEBI:8776
C29416	CHEBI:8871
C29443	CHEBI:9011
C29444	CHEBI:63621
C29446	CHEBI:61272
C29451	CHEBI:9124
C29454	CHEBI:9150
C29457	CHEBI:32139
C29459	CHEBI:37586
C29462	CHEBI:17924
C29463	CHEBI:9207
C29467	CHEBI:63858
C29468	CHEBI:9328
C29469	CHEBI:9334
C29470	CHEBI:64359
C29486	CHEBI:9399
C29487	CHEBI:32184
C29490	CHEBI:63625
C29490	CHEBI:63716
C29491	CHEBI:9446
C29497	CHEBI:32216
C29498	CHEBI:48566
C295	CHEBI:28669
C29501	CHEBI:9600
C29504	CHEBI:32245
C29510	CHEBI:9654
C29520	CHEBI:9674
C29530	CHEBI:35045
C29531	CHEBI:16199
C29536	CHEBI:39867
C29540	CHEBI:9944
C29551	CHEBI:10102
C29553	CHEBI:10126
C29574	CHEBI:61908
C29575	CHEBI:38234
C29576	CHEBI:35530
C29577	CHEBI:23018
C29578	CHEBI:37955
C29597	CHEBI:15971
C29598	CHEBI:17191
C29599	CHEBI:15603
C29600	CHEBI:16643
C29601	CHEBI:17295
C29602	CHEBI:16857
C29603	CHEBI:16828
C29604	CHEBI:16414
C29605	CHEBI:16977
C29607	CHEBI:17196
C29608	CHEBI:17053
C29609	CHEBI:17561
C29610	CHEBI:16283
C29611	CHEBI:15729
C29612	CHEBI:17203
C29613	CHEBI:17115
C29696	CHEBI:51371
C29697	CHEBI:50503
C29698	CHEBI:53784
C297	CHEBI:34554
C29701	CHEBI:49201
C29702	CHEBI:37961
C29704	CHEBI:48876
C29706	CHEBI:50513
C29707	CHEBI:35620
C29709	CHEBI:35569
C29710	CHEBI:35476
C29712	CHEBI:49167
C29712	CHEBI:65023
C29713	CHEBI:37890
C29723	CHEBI:49200
C29727	CHEBI:38706
C29728	CHEBI:50507
C29744	CHEBI:16842
C29747	CHEBI:37962
C29756	CHEBI:35717
C29783	CHEBI:16032
C29790	CHEBI:39478
C29791	CHEBI:17356
C29795	CHEBI:34342
C29796	CHEBI:38001
C29800	CHEBI:29865
C29801	CHEBI:32692
C29807	CHEBI:15347
C29810	CHEBI:34565
C29813	CHEBI:23012
C29814	CHEBI:34623
C29815	CHEBI:35255
C29816	CHEBI:46666
C29819	CHEBI:35702
C29819	CHEBI:25698
C29820	CHEBI:23994
C29821	CHEBI:27561
C29823	CHEBI:17594
C29824	CHEBI:35194
C29827	CHEBI:34873
C29839	CHEBI:16482
C29842	CHEBI:44445
C29843	CHEBI:33101
C29849	CHEBI:32687
C29850	CHEBI:53181
C29853	CHEBI:30563
C29856	CHEBI:348530
C29858	CHEBI:27919
C29864	CHEBI:27292
C29865	CHEBI:49976
C29866	CHEBI:32509
C29869	CHEBI:18155
C29883	CHEBI:49477
C299	CHEBI:3002
C29974	CHEBI:26710
C300	CHEBI:4637
C302	CHEBI:16716
C303	CHEBI:3077
C305	CHEBI:16990
C308	CHEBI:50846
C309	CHEBI:15956
C310	CHEBI:4513
C311	CHEBI:3139
C312	CHEBI:34582
C313	CHEBI:3139
C314	CHEBI:38849
C316	CHEBI:3165
C317	CHEBI:3182
C318	CHEBI:472552
C319	CHEBI:35523
C321	CHEBI:28901
C322	CHEBI:34247
C327	CHEBI:61793
C328	CHEBI:27732
C330	CHEBI:17823
C331	CHEBI:22984
C331	CHEBI:29320
C332	CHEBI:3311
C333	CHEBI:38215
C338	CHEBI:27656
C339	CHEBI:3374
C340	CHEBI:3380
C341	CHEBI:3387
C343	CHEBI:3393
C344	CHEBI:16646
C345	CHEBI:33575
C347	CHEBI:50903
C349	CHEBI:3423
C350	CHEBI:23042
C351	CHEBI:23044
C353	CHEBI:3480
C354	CHEBI:204928
C356	CHEBI:3535
C357	CHEBI:23066
C358	CHEBI:3542
C359	CHEBI:17761
C360	CHEBI:38161
C362	CHEBI:28830
C363	CHEBI:17698
C364	CHEBI:3614
C366	CHEBI:28966
C367	CHEBI:3647
C369	CHEBI:16113
C370	CHEBI:28073
C371	CHEBI:51233
C373	CHEBI:51687
C374	CHEBI:3699
C37452	CHEBI:63605
C37455	CHEBI:46938
C37456	CHEBI:5835
C375	CHEBI:100241
C376	CHEBI:27899
C377	CHEBI:3745
C378	CHEBI:3750
C37899	CHEBI:64153
C379	CHEBI:3753
C37918	CHEBI:17544
C37937	CHEBI:16919
C380	CHEBI:46631
C380	CHEBI:46632
C380	CHEBI:3757
C381	CHEBI:3764
C38138	CHEBI:50821
C382	CHEBI:27638
C384	CHEBI:15346
C385	CHEBI:27882
C38693	CHEBI:7931
C38696	CHEBI:7008
C38703	CHEBI:6367
C38716	CHEBI:55346
C389	CHEBI:49325
C391	CHEBI:28694
C391	CHEBI:30052
C391	CHEBI:52630
C393	CHEBI:16827
C395	CHEBI:16962
C397	CHEBI:28794
C39707	CHEBI:33130
C39765	CHEBI:33375
C398	CHEBI:645509
C399	CHEBI:16737
C401	CHEBI:3962
C40428	CHEBI:10545
C40429	CHEBI:36342
