"Source Code","Source Name","Source Coding Scheme","Source Coding Scheme Version","Source Coding Scheme Namespace","Association","REL","Map Rank","Target Code","Target Name","Target Coding Scheme","Target Coding Scheme Version","Target Coding Scheme Namespace"
"C96334","KDM6A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:12637","KDM6A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C80017","KDM6B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29012","KDM6B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C158440","KDM7A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:22224","KDM7A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C158443","KDM7A-DT Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:48959","KDM7A-DT","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24532","KDR Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6307","KDR","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24410","KDSR Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:4021","KDSR","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C112105","KEAP1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:23177","KEAP1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C147984","KEL Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6308","KEL","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C102427","KHDRBS1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18116","KHDRBS1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C162400","KHDRBS3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18117","KHDRBS3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C98017","KIAA1549 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:22219","KIAA1549","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C79078","KIF11 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6388","KIF11","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C181088","KIF18A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29441","KIF18A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C190812","KIF1A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:888","KIF1A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C152002","KIF1B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:16636","KIF1B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C177662","KIF1C Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6317","KIF1C","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C126522","KIF20A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:9787","KIF20A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C126126","KIF20B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:7212","KIF20B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191873","KIF22 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6391","KIF22","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C104161","KIF23 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6392","KIF23","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C104356","KIF2C Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6393","KIF2C","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C63505","KIF4A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:13339","KIF4A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C191839","KIF5A Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6323","KIF5A","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C101425","KIF5B Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6324","KIF5B","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C129016","KIR2DL1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6329","KIR2DL1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C129036","KIR2DL2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6330","KIR2DL2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C129039","KIR2DL3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6331","KIR2DL3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C106092","KIR2DS1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6333","KIR2DS1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C132075","KIR2DS3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6335","KIR2DS3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C118916","KIR2DS4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6336","KIR2DS4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C104359","KIR3DL1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6338","KIR3DL1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C171045","KIR3DL2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6339","KIR3DL2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C201150","KIR3DL3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:16312","KIR3DL3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C20765","KISS1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6341","KISS1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C20924","KISS1R Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:4510","KISS1R","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C18609","KIT Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6342","KIT","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C21112","KITLG Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6343","KITLG","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C98114","KL Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6344","KL","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C119643","KLB Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:15527","KLB","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C106343","KLC1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6387","KLC1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C84289","KLF1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6345","KLF1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C174470","KLF17 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:18830","KLF17","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C162389","KLF2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6347","KLF2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C162392","KLF3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:16516","KLF3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C73449","KLF4 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6348","KLF4","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C102501","KLF5 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6349","KLF5","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C97448","KLF6 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:2235","KLF6","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C142218","KLHL14 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29266","KLHL14","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C162429","KLHL33 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:31952","KLHL33","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C150038","KLHL42 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:29252","KLHL42","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
